train_mcc,train_auprc,validation_mcc,validation_auprc,model_id,training_mode,number_of_parameters (millions),test_mcc,test_auprc,test_elapsed_time
0.8155392991498136,0.9163947396711528,0.7604604368552071,0.8672623861419322,esm_6,only_head,8,0.7581951824747133,0.8993141216334303,8.280742711969651
0.9339999671600812,0.9801766152088264,0.7972585385091238,0.8759294110640063,esm_6,finetune,8,0.816937642062202,0.9141037678693034,7.361980676651001
0.8765865531663607,0.9647729578584474,0.7587289323612529,0.866660974727979,protein_bert,only_head,16,0.7328168161831898,0.883364369419355,34.59012758266181
0.966447714583712,0.996632496947311,0.7601104438626536,0.8727394252707058,protein_bert,finetune,16,0.7076276046177763,0.8783910835956261,7.190492937108502
0.8811714900120347,0.9668704416716344,0.7962769587386125,0.8983244013626838,esm_12,only_head,35,0.7999455820557405,0.9284076051635498,17.262459384975955
0.8916130469148165,0.9721117667312544,0.8076127057908077,0.9000798974504733,esm_12,finetune,35,0.840989899020691,0.9341076276854892,20.05611777305603
0.8351796772090806,0.9330737186781046,0.8037680113512369,0.9032227323170255,esm_30,only_head,150,0.7756576948136732,0.9162836346860794,126.60531402996276
0.9622820486086864,0.9959300419785668,0.8285603376802801,0.8972857107084922,esm_30,finetune,150,0.871842988339245,0.9346437059515916,38.72068905830383
0.8738697512303958,0.9614072818757672,0.8250653578147675,0.9268904964929202,esm_33,only_head,650,0.837779669770768,0.9554569493146148,224.91752447502225
0.9966770494486014,0.9998676568646128,0.8543643668371789,0.9146861541032508,esm_33,finetune,650,0.8358615228768015,0.9360522241791795,90.77534866333008
0.9144087445111442,0.975484300526093,0.8585581925328298,0.9364709731445,esm_36,only_head,3000,0.875751577455712,0.969435857826249,869.7569817840122
0.9007261455840128,0.96562006515096,0.871088605051402,0.9475410353040304,pt5,only_head,3000,0.903059668591256,0.967418416833927,29.92326731502544
0.9835604074988884,0.9992316095758296,0.8589178051750154,0.9480498424839064,esm_36,finetune,3000,0.8654217114771783,0.9579390974675782,476.72791051864624
0.9363568823731344,0.9863478173722948,0.9052614384198202,0.9628494493900988,pt5,finetune,3000,0.915217011355686,0.9721961240499256,214.0204949378968
