rec_id,nr_hit,species,group member,method,classification,notes,Old_rec_id,Old_fasta_name
common_HrpY__uniprot_Q2AC60__genbank_BAE80275.1__species_Acidovorax_avenae_subsp._avenae,BAE80275.1,Acidovorax avenae subsp. avenae,Tal,"gene knockout, host cell expression",proven,"additional notes: Knockout abolishes HR, suggesting effector role, yet could imply a chaperone function. Host expression induces cell death, but still doesn?€™t conclusively prove effector status.",tr|Q2AC60|Q2AC60_9BURKHrpY,tr|Q2AC60|Q2AC60_9BURKHrpY_Acidovorax_avenae_subsp._avenae OS=Acidovorax avenae subsp. avenae PE=4 SV=1|26120140
ACCM_0030,QCX09021.1,Acidovorax citrulli,,,,,,
ACCM_0167,WP_011795280.1,Acidovorax citrulli,,,,,,
ACCM_0178,QCX09152.1,Acidovorax citrulli,,,,,,
ACCM_0492,QCX09446.1,Acidovorax citrulli,,,,,,
ACCM_0502,WP_048857515.1,Acidovorax citrulli,,,,,,
ACCM_0506,WP_138919890.1,Acidovorax citrulli,,,,,,
ACCM_0542,QCX09495.1,Acidovorax citrulli,,,,,,
ACCM_0658,WP_017438247.1,Acidovorax citrulli,,,,,,
ACCM_0664,WP_048857421.1,Acidovorax citrulli,,,,,,
ACCM_0885,WP_046060788.1,Acidovorax citrulli,,,,,,
ACCM_1023,QCX09937.1,Acidovorax citrulli,,,,,,
ACCM_1209,QCX10114.1,Acidovorax citrulli,,,,,,
ACCM_1255,WP_011797268.1,Acidovorax citrulli,,,,,,
ACCM_1433,ATG96487.1,Acidovorax citrulli,,,,,,
ACCM_1482,WP_011797481.1,Acidovorax citrulli,,,,,,
ACCM_1627,WP_116212606.1,Acidovorax citrulli,,,,,,
ACCM_1634,QCX10501.1,Acidovorax citrulli,,,,,,
ACCM_1658,WP_011797633.1,Acidovorax citrulli,,,,,,
ACCM_1676,WP_200896982.1,Acidovorax citrulli,,,,,,
ACCM_1921,WP_011793277.1,Acidovorax citrulli,,,,,,
ACCM_1966,WP_082081962.1,Acidovorax citrulli,,,,,,
ACCM_2045,WP_048857487.1,Acidovorax citrulli,,,,,,
ACCM_2122,WP_082081969.1,Acidovorax citrulli,,,,,,
ACCM_2156,WP_046059919.1,Acidovorax citrulli,,,,,,
ACCM_2228,WP_158296397.1,Acidovorax citrulli,,,,,,
ACCM_2229,WP_082081971.1,Acidovorax citrulli,,,,,,
ACCM_2287,WP_063366169.1,Acidovorax citrulli,,,,,,
ACCM_2313,WP_046060333.1,Acidovorax citrulli,,,,,,
ACCM_2345,WP_048857565.1,Acidovorax citrulli,,,,,,
ACCM_2589,ATG95412.1,Acidovorax citrulli,,,,,,
ACCM_2767,WP_082091353.1,Acidovorax citrulli,,,,,,
ACCM_2799,WP_048857787.1,Acidovorax citrulli,,,,,,
ACCM_3109,WP_011794516.1,Acidovorax citrulli,,,,,,
ACCM_3252,WP_017438883.1,Acidovorax citrulli,,,,,,
ACCM_3261,WP_017438746.1,Acidovorax citrulli,,,,,,
ACCM_3288,WP_017438732.1,Acidovorax citrulli,,,,,,
ACCM_3289,QCX12061.1,Acidovorax citrulli,,,,,,
ACCM_3303,QCX12072.1,Acidovorax citrulli,,,,,,
ACCM_3930,WP_011796139.1,Acidovorax citrulli,Naama,,not proven,"reported at Saul's paper to be homologous to AvrRxo1-ORF2, however it is indicated to be a chaperon: https://www.sciencedirect.com/science/article/pii/S0969212615003251?via%3Dihub",,
ACCM_3943,WP_017439501.1,Acidovorax citrulli,,,,,,
ACCM_4070,AIE45635.1,Acidovorax citrulli,,,,,,
ACCM_4101,WP_082082003.1,Acidovorax citrulli,,,,,,
ACCM_4112,WP_046059648.1,Acidovorax citrulli,,,,,,
ACCM_4113,WP_082081989.1,Acidovorax citrulli,,,,,,
ACCM_4317,PVY62832.1,Acidovorax citrulli,,,,,,
common_APS58_0500__uniparc_UPI000662AA07__genbank_WP_048857514.1__species_Acidovorax_citrulli,WP_048857514.1,Acidovorax citrulli,Naama,avrBs2?€“Bs2,proven,,QCX09454.1,QCX09454.1_Acidovorax_citrulli hypothetical protein APS58_0500 [Acidovorax citrulli]
QCX09914.1,WP_049762196.1,Acidovorax citrulli,,,,,,
common_APS58_1448__uniparc_UPI0008800F97__genbank_WP_133246132.1__species_Acidovorax_citrulli,WP_133246132.1,Acidovorax citrulli,Naama,avrBs2?€“Bs2,proven,,QCX10339.1,QCX10339.1_Acidovorax_citrulli hypothetical protein APS58_1448 [Acidovorax citrulli]
common_APS58_2974__uniparc_UPI0002F761E5__genbank_WP_046060861.1__species_Acidovorax_citrulli,WP_046060861.1,Acidovorax citrulli,Naama,avrBs2?€“Bs2,proven,,QCX11767.1,QCX11767.1_Acidovorax_citrulli hypothetical protein APS58_2974 [Acidovorax citrulli]
common_APS58_3297__uniparc_UPI0005FBE681__genbank_WP_046060244.1__species_Acidovorax_citrulli,WP_046060244.1,Acidovorax citrulli,Naama,avrBs2?€“Bs2,proven,,QCX12068.1,QCX12068.1_Acidovorax_citrulli hypothetical protein APS58_3297 [Acidovorax citrulli]
QCX12473.1,QCX12473.1,Acidovorax citrulli,Naama,,not proven,"APS58_3751, reported in Saul's paper to be homologous to HopAJ2 but I cannot find clear evidence that it is indeed an effector. there are contradictions in the literature",,
common_APS58_4095__uniparc_UPI00088F3870__genbank_QCX12800.1__species_Acidovorax_citrulli,QCX12800.1,Acidovorax citrulli,Naama,avrBs2?€“Bs2,proven,,QCX12800.1,QCX12800.1_Acidovorax_citrulli hypothetical protein APS58_4095 [Acidovorax citrulli]
common_APS58_4116__uniparc_UPI0005FBDCC3__genbank_WP_046059647.1__species_Acidovorax_citrulli,WP_046059647.1,Acidovorax citrulli,Naama,avrBs2?€“Bs2,proven,,QCX12820.1,QCX12820.1_Acidovorax_citrulli hypothetical protein APS58_4116 [Acidovorax citrulli]
common_APS58_1000star__uniprac_UPI0000DC98AC__species_Acidovorax_citrulli,UPI0000DC98AC,Acidovorax citrulli,Naama,avrBs2?€“Bs2,proven,"no protein record on NCBI, only uniprac",,
ACCM_1657,ABM35166.1,Acidovorax citrulli AAC00-1,,,,,,
ACCM_1760,ABM35260.1,Acidovorax citrulli AAC00-1,,,,,,
ACCM_3344,ABM32234.1,Acidovorax citrulli AAC00-1,,,,,,
ACCM_3909,ABM33649.1,Acidovorax citrulli AAC00-1,,,,,,
tr|A6YCJ6|A6YCJ6_AERHYAexT,ABR13262.1,Aeromonas piscicola,,,,,,
sp|Q93Q17|AEXT_AERSAADP-ribosyltransferase,WP_005320615.1,Aeromonas salmonicida,,,,,,
common_ATI2__uniprot_A4SUE7__genbank_WP_011899436.1__species_Aeromonas_salmonicida,WP_011899436.1,Aeromonas salmonicida,Tal,Western Blot. secreted in a type II dependant manner,proven,,tr|A4SUE7|A4SUE7_AERS4Putative,tr|A4SUE7|A4SUE7_AERS4Putative_Aeromonas_salmonicida inositol phosphatase TTSS effector protein OS=Aeromonas salmonicida (strain A449) GN=ati2 PE=4 SV=1|24391954|
tr|Q27RI0|Q27RI0_AERS4AopO,WP_005321178.1,Aeromonas salmonicida,,,,,,
